,hashtag,frequency
7403,narendramodi71birthday,11
10434,thestreamers,11
1576,business,11
12020,لقاء_محمد_بن_سلمان,10
9667,skillindia,10
1021,bass,10
9301,sanjeevani,10
10894,unitedstates,10
8368,pmc,10
7924,oneindiaonemission,10
9584,shivrajsinghchouhan,10
9217,safe,10
4939,healthtunnel,10
5916,jumla,10
5683,israel,10
6613,maharashtraneedsvaccine,10
1195,bharatthanksmodiji,10
6351,leavenoonebehind,10
8888,rcbvsdc,10
4938,healthtech,10
7863,odishanews,10
11170,vaccine_is_safe,10
324,adarpoonawalla,10
1611,caexams,10
4768,hacked,10
7383,namoapp,10
1623,cancel12thboardexams2021,10
8333,plasma,10
5349,indiafightscoronavirus,10
7969,open,10
3564,down,10
6687,mangonews,10
11782,wirelessearbuds,10
5294,incometaxportal,10
11808,work,10
2756,cowinfail,10
9481,sensex,10
5406,indianews,10
2019,coloose,10
7959,onlineregistration,10
2820,cowinpassport,10
12010,ɢᴇᴛᴠᴀᴄᴄɪɴᴀᴛᴇᴅ,10
10473,thread,10
10078,support,10
2519,covidnews,10
6978,ministryofhealthandfamilywelfare,10
448,airtel,10
11144,vaccinationstatus,10
12295,म,10
503,alluarjun,10
6848,medtwitter,10
8274,phc,10
8272,phase3,10
5023,himachalpradesh,10
7656,nigeria,10
9886,startupindia,10
3818,error,10
43,15yearsforsouthindiaihpokiri,10
10622,toyotacares,10
6512,longcovid,10
4475,getwellsoonalluarjun,10
8541,pregnantwomen,10
10705,tripuradm,10
10936,upgovt,10
11659,wecantbreathe,10
11670,wednesdayvibe,10
6069,kejriwalfailsdelhi,10
1112,bengal,10
3111,darkweb,10
78,1stdose,10
6871,meme,10
8064,paid,10
12319,मोदी_भाषण_रोको_आक्सीजन_नहीं,10
8623,proudindian,9
2841,cowinscam,9
12504,தடுப்பூசி,9
1765,championsleague,9
4762,gym,9
6889,mentalhealth,9
12509,தமிழ்,9
11242,vaccineforchildren,9
11051,vaccinating,9
5341,indiafightcorona,9
8254,petrolpricehike,9
10571,together,9
6144,kisanbole_novotetomodi,9
3443,disasterrelief,9
11524,vizag,9
6880,memesdaily,9
10292,teenagers,9
893,ayushmanbharatdigitalmission,9
11406,varanasi,9
11456,vickykaushal,9
7236,mudrayojana,9
553,amravati,9
8352,playstore,9
2972,cscdiwas,9
12601,ᴠaccinesaveslives,9
3483,dmk,9
10478,throwback,9
11266,vaccineissafe,9
451,airteltoppredictor,9
7901,omicronvirus,9
648,apis,9
1432,bombayhc,9
3096,damso,9
3554,dothevaccinebaby,9
12198,जोहार,9
2261,coronil,9
12498,கோவின்,9
3132,dataprivacy,9
4943,healthworkers,9
188,7yearsofdemodisaster,9
11833,worldimmunizationweek,9
11074,vaccinationcentres,9
4560,godimedia,9
9230,safetyfirst,9
3728,election2022,9
4460,getvaccienated,9
3494,doctor,9
10938,uphc,9
11811,workfromhome,9
10546,tncoronaupdates,9
3642,dy365,9
12600,โควิดวันนี้,9
7897,omicronindia,9
7247,mulund,9
3884,excercise,9
4150,firstdose,9
10767,twitterbaninindia,9
9265,samanthaakkineni,9
7271,mumbaivaccine,9
7139,mondaymorning,9
2617,covidvaccineregistration,9
6822,medical,9
9530,shame,9
9761,sonamkapoor,9
9593,shortage,9
5304,ind,9
2501,covidinfo,9
3848,etnowswadesh,9
5292,incometax,9
4529,globalcowinconclave,9
4177,flop,9
10199,tanla,9
4523,glitch,9
8582,privatehospitals,9
8895,re,9
11147,vaccinationupdates,9
2011,collectivewin,9
2152,corona_vaccine,9
3875,evinindia,9
1621,canada,9
6295,largest_vaccination_drive,9
1990,coding,9
9345,saturdaythoughts,9
877,aws,9
1344,bjymcares,9
1948,cmo,9
4230,fortis,9
11765,winbitcoinoncred,9
10486,thursdaymorning,9
8070,pakistan,9
7744,noslots,8
3953,failure,8
5552,infosec,8
10866,uniongovernment,8
3729,electioncommission,8
3550,dose2,8
7496,ndhm,8
11341,vaccinesideeffects,8
8528,precautionarydose,8
2627,covidvariant,8
2798,cowinmemes,8
1978,co,8
4872,hcw,8
1017,barwani,8
7674,niwantimes,8
11368,vaccinewastage,8
1129,bepositve,8
1824,chetanbhagat,8
5625,interview,8
7532,nesco,8
5444,indianvaccine,8
3587,drive,8
5718,itvideo,8
7620,newyear2022,8
7622,newyork,8
4779,halamadrid,8
5627,inthistogether,8
1976,cnbctv18exclusive,8
4843,harshvardhanshouldresign,8
2035,comedy,8
3606,drrssharma,8
8556,price,8
6509,lol,8
5721,ivermectin,8
11837,worldnews,8
2647,covinregistration,8
7648,nhs,8
7647,nhpsms,8
5606,internationalstudents,8
10932,updates,8
187,7saaldeshbehal,8
4810,happybirthdaynbk,8
3854,eu,8
8579,private,8
3859,europe,8
11362,vaccineupdate,8
4134,fintech,8
961,bangalorecovid,8
8077,palakkad,8
2313,covaxinated,8
521,amazon,8
5997,kanpur,8
1537,bts_butter,8
3245,delhipolice,8
11037,vaccinatefirst,8
5168,icai,8
11609,washyourhands,8
11036,vaccinatefast,8
2979,csk,8
6172,kolkatacovidcare,8
472,alert,8
7200,mp,8
6229,kudos,8
4272,freevaccine,8
9334,satire,8
10551,tngovernment,8
9311,sarcasm,8
11174,vaccinealerts,8
824,atalpensionyojana,8
535,amc,8
3216,dehradun,8
5867,jitinprasada,8
9440,seconddoses,8
2395,covid19vacccine,8
1420,bollywood,8
1437,book,8
11672,weekend,8
3153,dawaibhikadaibhi,8
6064,kejriwal,8
11105,vaccinationforchildren,8
8749,quotes,8
6048,kaundumbhai,8
6038,kashmir,8
8822,rajyasabha,8
2335,covid19_vaccine,8
11118,vaccinationindia,8
7075,modiinusa,8
3188,death,8
7083,modikavaccinejumla,8
4343,funny,8
8259,pfizervaccine,8
7093,modimustresign,8
1352,bkgnews,8
5268,immunization,8
2968,cryptorelief,8
11768,winnews,8
1261,biharfightscorona,8
10489,thursdayvibes,8
5303,incredibleindia,8
6740,marketing,8
9257,salmankhan,8
6726,marathi,8
5316,indiaagainstcorona,8
11231,vaccineequity,8
11795,womenintech,8
5795,janandolan,8
11799,womenwhocode,8
12441,हिन्दी_समाचार,8
9238,sahkarsesamriddhi,8
10836,un,8
2564,covidupdate,8
2569,covidvacccination,8
2571,covidvacccine2021,8
6348,learning,8
9003,remdisivir,8
5384,indianarmyforawaam,8
9264,samantha,8
8519,prayforindia,8
4158,fitindia,8
11014,vaccation,8
7293,mvasapps,8
12376,वैक्सीनेशन,8
854,automation,8
6157,knowyourcustomer,7
2523,covidpandemic,7
2333,covid1948,7
1291,birthday,7
8747,quote,7
5357,indiagetvaccinated,7
6161,knowyourvaccine,7
2336,covid19ab,7
2454,covidcare,7
1595,by,7
2565,covidupdates,7
11113,vaccinationfraud,7
2598,covidvaccinecertificate,7
2219,coronavaccines,7
9304,santizer,7
9419,scripts,7
2360,covid19inindia,7
5405,indianethos,7
5546,information,7
6341,leadership,7
11705,westbengalpolls,7
11495,viratkohli,7
4987,helpline,7
11095,vaccinationeducation,7
2201,coronavacccine,7
2198,coronaupdatesinindia,7
2589,covidvaccinations,7
11698,weshallovercome,7
11249,vaccinefraud,7
9487,serum,7
9124,rnsit,7
11415,vax,7
9473,selfregistration,7
1972,cmuddhavthackeray,7
5642,iot,7
5739,jabtobeatcorona,7
11318,vaccinerollout,7
6417,like,7
5193,icymi,7
1572,burcubiricik,7
8882,ravishkumar,7
11588,walkin,7
6427,linux,7
2620,covidvaccinescam,7
10959,urgent,7
4891,healthcareheroes,7
4981,helpindia,7
2479,covidfree,7
5802,jandhanyojana,7
6269,lagayakya,7
9364,savelife,7
11333,vaccinesforall,7
1346,bjymdoctorhelpline,7
2320,covaxinvaccine,7
5791,jamshedpur,7
11352,vaccinestrategy,7
5786,jammukashmir,7
1508,brics,7
11244,vaccineforindia,7
11245,vaccineforkids,7
2316,covaxinforkids,7
11381,vacination,7
7560,news1india,7
3430,dino,7
4101,fightcorona,7
3114,dashboard,7
12189,जयभीम,7
10670,treasure,7
7619,newyear,7
192,7yearsofseva,7
10132,sweatproof,7
10801,udid,7
8271,phase2,7
88,1yearofvaccinedrive,7
4787,handwash,7
6750,marutisuzuki,7
7253,mumbaicovid,7
3317,devops,7
10891,unitednations,7
757,arvindkejariwal,7
10196,tamkuhiraj,7
7017,mobile,7
4524,glitches,7
79,1stdosecovid19vaccine,7
3139,date,7
3022,cyberaware,7
6971,ministry,7
7234,mucormycosis,7
733,arogya,7
6902,mess,7
6915,mexico,7
4468,getvaccinatedsoonindia,7
158,4theyetoday,7
8388,pmmodiatunga,7
3601,drrajkumar,7
3409,digitaltech,7
10723,truth,7
11999,zomato,7
4488,ghmc,7
3376,digitalhealth,7
3603,drreddys,7
722,army,7
3412,digitaluphaar,7
4729,gujaratcoronaupdate,7
3577,drdo,7
3033,cybersecure,7
4732,gujaratfightscovid19,7
377,africa,7
3090,dalailama,7
8366,pmay,7
7806,nse,7
7810,ntagi,7
3309,developer,7
8471,positive,7
4552,gocorona,7
3252,delhivaccine,7
10655,traveler,7
6775,matalabu,7
805,assamcovidupdate,7
275,abpmajha,7
7145,mondayvibes,7
12284,भारत,7
3236,delhigovernment,7
7074,modiinus,7
10586,tokyoolympics,7
9899,states,7
7451,nationalvaccinationday,7
7123,mohali,7
8511,prathammotors,7
245,aarogyasethu,7
4334,fun,7
819,astrazenaca,7
7113,modiusvisit,7
3750,elonmusk,7
7931,oneplus,7
4291,fridaymotivation,7
3174,dcvrcb,7
2987,curfew,7
12103,किसान_msp_चाहता_है,7
7892,olympics,7
9769,sonusood,7
9846,srhvscsk,7
219,aadharnumber,7
10391,theassamtribune,7
10566,today,7
12224,धरती_आबा_बिरसा_मुंडा,7
9642,sindhudurg,7
10051,sundayvibes,7
6806,mbmc,6
4519,gknm,6
7375,nakedattraction,6
7433,nationaldigitalhealthmission,6
10042,sunday,6
2088,congratulations,6
4094,fightagainstcovid,6
5031,hindinews,6
767,asansol,6
5348,indiafightscoronatogether,6
10721,trustnews18kannada,6
12451,કોરોના,6
2498,covidindiahelp,6
5033,hindisamachar,6
3020,cyberattack,6
7970,openapi,6
6240,kumudam,6
726,arnabgoswami,6
9454,secure,6
7398,narendermodi,6
750,artificialintelligence,6
10737,tuesdayfeeling,6
11511,visitlondon,6
10754,tvfaspirants,6
2466,coviddeaths,6
5777,jalgaon,6
285,abvp,6
4119,financeminister,6
5326,indiacan,6
2974,cscfightscovid,6
8132,parents,6
10706,trivandrum,6
490,allah_canbe_seen,6
7018,mobileapp,6
11671,wednesdaywisdom,6
1574,burnol,6
8053,oxygenforindia,6
11161,vaccine4all,6
4269,freevaccination,6
463,akhanda,6
9910,stayathome,6
2370,covid19on,6
9852,srinagar,6
4278,freevaccines,6
9907,stay,6
10572,togetheragainstcovid,6
7053,modicares4tn,6
2354,covid19help,6
4464,getvaccinatedindia,6
4294,fridayvibes,6
3251,delhivaccination,6
11614,watch,6
